         137155898 function calls (137146730 primitive calls) in 54.512 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3083    0.005    0.000    0.019    0.000 C:\Users\habbo\Documents\GitHub\rogue-ai-gm/src\core\objects\entity.py:21(move)
        8    0.000    0.000    0.015    0.002 C:\Users\habbo\Documents\GitHub\rogue-ai-gm/src\core\systems\dungeon.py:121(spawn_static)
     9600    0.014    0.000    0.014    0.000 C:\Users\habbo\Documents\GitHub\rogue-ai-gm/src\core\systems\dungeon_generator.py:222(count_adjacent_walls)
     3261    0.001    0.000    0.014    0.000 C:\Users\habbo\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\yaml\scanner.py:113(check_token)
        1    0.000    0.000    0.013    0.013 C:\Users\habbo\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\openai\_utils\_transform.py:74(maybe_transform)
        1    0.000    0.000    0.013    0.013 C:\Users\habbo\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\openai\_utils\_transform.py:88(transform)
    261/1    0.001    0.000    0.013    0.013 C:\Users\habbo\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\openai\_utils\_transform.py:145(_transform_recursive)
     9435    0.013    0.000    0.013    0.000 C:\Users\habbo\Documents\GitHub\rogue-ai-gm/src\core\systems\dungeon_generator.py:237(find_nearest_floor)
        1    0.000    0.000    0.013    0.013 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\socket.py:959(getaddrinfo)
        1    0.013    0.013    0.013    0.013 {built-in method _socket.getaddrinfo}
      239    0.000    0.000    0.013    0.000 C:\Users\habbo\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\openai\_utils\_typing.py:15(is_list_type)
        8    0.000    0.000    0.012    0.002 C:\Users\habbo\Documents\GitHub\rogue-ai-gm/src\core\systems\dungeon.py:109(spawn_enemy)
  286/285    0.000    0.000    0.012    0.000 {built-in method builtins.next}
       34    0.000    0.000    0.012    0.000 C:\Users\habbo\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\pygame\pkgdata.py:45(getResource)
      266    0.005    0.000    0.012    0.000 c:\Users\habbo\.vscode\extensions\ms-python.debugpy-2024.14.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\pydevd.py:1765(process_internal_commands)
      179    0.000    0.000    0.012    0.000 C:\Users\habbo\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\yaml\parser.py:446(parse_block_mapping_value)
     2703    0.008    0.000    0.012    0.000 C:\Users\habbo\Documents\GitHub\rogue-ai-gm/src\core\objects\entity.py:89(check_entity_collision)
      622    0.003    0.000    0.012    0.000 C:\Users\habbo\Documents\GitHub\rogue-ai-gm/src\core\objects\player.py:136(update)
        1    0.000    0.000    0.011    0.011 C:\Users\habbo\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\httpcore\_backends\sync.py:142(start_tls)
        1    0.000    0.000    0.011    0.011 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\ssl.py:449(wrap_socket)
        1    0.000    0.000    0.011    0.011 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\ssl.py:955(_create)
     9601    0.006    0.000    0.011    0.000 C:\Users\habbo\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\pygame\sprite.py:446(add)
        1    0.000    0.000    0.011    0.011 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\ssl.py:1312(do_handshake)
        1    0.011    0.011    0.011    0.011 {method 'do_handshake' of '_ssl._SSLSocket' objects}
       33    0.010    0.000    0.010    0.000 {method 'render' of 'pygame.font.Font' objects}
102576/102384    0.009    0.000    0.010    0.000 {built-in method builtins.isinstance}
        1    0.001    0.001    0.010    0.010 C:\Users\habbo\Documents\GitHub\rogue-ai-gm/src\core\systems\dungeon.py:51(convert_grid_to_tiles)
     2488    0.005    0.000    0.010    0.000 C:\Users\habbo\Documents\GitHub\rogue-ai-gm/src\core\objects\enemy.py:90(can_see_player)
